Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA
2025-02-20,593689,269560,157714,4554,11565,324129,166415,150296,328683
2025-02-21,664007,369647,32274,8689,20557,294360,262086,232840,303049
2025-02-22,692619,32875,150300,17114,28022,659744,509444,464308,676858
2025-02-23,419197,35379,122860,13542,5022,383818,260958,242394,397360
2025-02-24,313045,209779,164086,14309,23508,103266,-60820,-98637,117575
2025-02-25,560473,191981,186401,4052,21576,368492,182091,156463,372544
2025-02-26,282988,186923,110059,13095,10150,96065,-13994,-37239,109160
2025-02-27,317126,372118,120848,3951,15217,-54992,-175840,-195008,-51041
2025-02-28,488903,284408,21997,7156,3987,204495,182498,171355,211651
2025-03-01,625510,367393,95367,12572,20264,258117,162750,129914,270689
2025-03-02,275704,176489,83304,12756,13348,99215,15911,-10193,111971
2025-03-03,609893,244453,95005,6548,10472,365440,270435,253415,371988
2025-03-04,371575,204560,59579,17069,29948,167015,107436,60419,184084
2025-03-05,792942,198178,95739,18255,19339,594764,499025,461431,613019
2025-03-06,477652,270914,39107,17766,15305,206738,167631,134560,224504
2025-03-07,609037,107367,91209,4680,17994,501670,410461,387787,506350
2025-03-08,322695,385821,172098,1942,28811,-63126,-235224,-265977,-61184
2025-03-09,796329,212518,6291,8028,6912,583811,577520,562580,591839
2025-03-10,62413,12461,102113,9645,26593,49952,-52161,-88399,59597
2025-03-11,718729,172097,164869,5942,23662,546632,381763,352159,552574
2025-03-12,297919,225527,156161,6658,10975,72392,-83769,-101402,79050
2025-03-13,799470,153815,136878,11559,21728,645655,508777,475490,657214
2025-03-14,674098,208248,195694,1641,7437,465850,270156,261078,467491
2025-03-15,174904,350890,38578,8503,1021,-175986,-214564,-224088,-167483
2025-03-16,491620,59983,95548,4041,5373,431637,336089,326675,435678
2025-03-17,764743,246048,185688,13230,22956,518695,333007,296821,531925
2025-03-18,751559,68900,163583,1875,23595,682659,519076,493606,684534
2025-03-19,87480,345538,199365,15820,17256,-258058,-457423,-490499,-242238
2025-03-20,666017,341939,165953,8297,17733,324078,158125,132095,332375
2025-03-21,797742,79605,119455,672,16503,718137,598682,581507,718809
2025-03-22,778518,94911,56836,7700,10652,683607,626771,608419,691307
2025-03-23,789306,186442,105892,6623,11799,602864,496972,478550,609487
2025-03-24,49175,20123,136724,1176,17394,29052,-107672,-126242,30228
2025-03-25,794359,134660,113212,5602,26672,659699,546487,514213,665301
2025-03-26,125570,353007,176892,19344,2246,-227437,-404329,-425919,-208093
2025-03-27,328450,214493,26425,17501,9260,113957,87532,60771,131458
2025-03-28,573487,327885,110338,10537,9632,245602,135264,115095,256139
2025-03-29,702310,21877,98233,16555,18488,680433,582200,547157,696988
2025-03-30,140105,363949,168521,15191,28157,-223844,-392365,-435713,-208653
2025-03-31,491273,257445,70409,2253,17522,233828,163419,143644,236081
2025-04-01,52297,15066,151327,14550,24289,37231,-114096,-152935,51781
2025-04-02,545302,361270,78597,7431,12765,184032,105435,85239,191463
2025-04-03,48543,183510,25984,16778,10431,-134967,-160951,-188160,-118189
2025-04-04,250938,29890,57919,12008,5986,221048,163129,145135,233056
2025-04-05,362169,287802,180685,2157,13602,74367,-106318,-122077,76524
2025-04-06,144257,119965,15395,7270,21047,24292,8897,-19420,31562
2025-04-07,669077,121114,86456,19851,21982,547963,461507,419674,567814
2025-04-08,218705,205912,187569,16808,21182,12793,-174776,-212766,29601
2025-04-09,391599,168843,111032,10652,13052,222756,111724,88020,233408
2025-04-10,113247,82788,141206,6397,13997,30459,-110747,-131141,36856
2025-04-11,752612,327846,27677,8863,25260,424766,397089,362966,433629
2025-04-12,192681,89328,54460,8210,10611,103353,48893,30072,111563
2025-04-13,733098,149439,52513,14281,12721,583659,531146,504144,597940
2025-04-14,335422,283904,193324,5592,9156,51518,-141806,-156554,57110
2025-04-15,401406,65405,19845,19842,7021,336001,316156,289293,355843
2025-04-16,278598,249887,48370,11566,1356,28711,-19659,-32581,40277
2025-04-17,50197,132791,48553,17641,16014,-82594,-131147,-164802,-64953
2025-04-18,654381,143823,38775,5988,7506,510558,471783,458289,516546
2025-04-19,715536,21809,30132,11320,11363,693727,663595,640912,705047
2025-04-20,176543,290517,20700,2032,3982,-113974,-134674,-140688,-111942
2025-04-21,594555,371040,65198,6104,26283,223515,158317,125930,229619
2025-04-22,667596,203121,135150,15377,13138,464475,329325,300810,479852
2025-04-23,766673,134866,89275,11853,20072,631807,542532,510607,643660
2025-04-24,483912,340390,115472,10630,971,143522,28050,16449,154152
2025-04-25,38089,76361,97198,8787,11319,-38272,-135470,-155576,-29485
2025-04-26,258796,234394,144993,17067,8976,24402,-120591,-146634,41469
2025-04-27,426945,399717,64896,12687,7902,27228,-37668,-58257,39915
2025-04-28,391467,130250,45743,5751,2476,261217,215474,207247,266968
2025-04-29,739544,397176,198723,5292,18480,342368,143645,119873,347660
2025-04-30,268324,207085,86494,14306,13406,61239,-25255,-52967,75545
2025-05-01,487321,337240,135813,19682,20480,150081,14268,-25894,169763
2025-05-02,517671,151722,68207,5164,21034,365949,297742,271544,371113
2025-05-03,707356,311375,186011,1278,17769,395981,209970,190923,397259
2025-05-04,611829,48259,113018,15463,928,563570,450552,434161,579033
2025-05-05,40136,198574,20388,5352,27233,-158438,-178826,-211411,-153086
2025-05-06,209543,89501,88656,14954,29595,120042,31386,-13163,134996
2025-05-07,361860,75521,102150,2631,11930,286339,184189,169628,288970
2025-05-08,422993,52803,71220,6630,13062,370190,298970,279278,376820
2025-05-09,683418,365905,107442,3608,24037,317513,210071,182426,321121
2025-05-10,178159,216973,85129,3588,29806,-38814,-123943,-157337,-35226
2025-05-11,101126,210552,160891,4093,16069,-109426,-270317,-290479,-105333
2025-05-12,636259,342552,30276,6009,19529,293707,263431,237893,299716
2025-05-13,434611,253677,29611,17326,28242,180934,151323,105755,198260
2025-05-14,768322,109906,159042,1422,1609,658416,499374,496343,659838
2025-05-15,217567,245977,55322,9204,2201,-28410,-83732,-95137,-19206
2025-05-16,690989,329655,13506,4901,1120,361334,347828,341807,366235
2025-05-17,359289,255365,159315,17794,15238,103924,-55391,-88423,121718
2025-05-18,402485,302288,93257,9338,22348,100197,6940,-24746,109535
2025-05-19,417001,337430,38485,19904,21337,79571,41086,-155,99475
2025-05-20,67992,133268,80457,18366,17783,-65276,-145733,-181882,-46910
2025-05-21,709838,282842,102751,8515,4766,426996,324245,310964,435511
2025-05-22,542677,152886,167735,2106,15523,389791,222056,204427,391897
2025-05-23,426243,356870,60099,13112,18529,69373,9274,-22367,82485
2025-05-24,273214,366291,199648,12443,29653,-93077,-292725,-334821,-80634
2025-05-25,600936,212800,185663,4996,24974,388136,202473,172503,393132
2025-05-26,631423,35181,105115,13747,19729,596242,491127,457651,609989
2025-05-27,585212,353968,36239,11468,18943,231244,195005,164594,242712
2025-05-28,333589,104125,13277,18717,29498,229464,216187,167972,248181
2025-05-29,355626,66299,121121,7531,15845,289327,168206,144830,296858
2025-05-30,597175,286200,134638,11027,26746,310975,176337,138564,322002
2025-05-31,39515,331142,9410,7584,14625,-291627,-301037,-323246,-284043
2025-06-01,175525,172735,32577,6046,6869,2790,-29787,-42702,8836
2025-06-02,442353,39762,53271,12042,5398,402591,349320,331880,414633
2025-06-03,574097,245131,183968,14658,5915,328966,144998,124425,343624
2025-06-04,747197,189814,39517,2716,12599,557383,517866,502551,560099
2025-06-05,326867,369570,101815,10922,11915,-42703,-144518,-167355,-31781
2025-06-06,215947,44895,6622,12359,19253,171052,164430,132818,183411
2025-06-07,748171,161029,152470,9885,9102,587142,434672,415685,597027
2025-06-08,564735,157234,106537,6352,28378,407501,300964,266234,413853
2025-06-09,537182,194096,24078,14310,5138,343086,319008,299560,357396
2025-06-10,249831,163736,186250,1913,8614,86095,-100155,-110682,88008
2025-06-11,352284,232119,130801,13781,26283,120165,-10636,-50700,133946
2025-06-12,44197,386662,169472,1235,11201,-342465,-511937,-524373,-341230
2025-06-13,457667,63493,170665,2409,26829,394174,223509,194271,396583
2025-06-14,767923,203989,89585,9060,17655,563934,474349,447634,572994
2025-06-15,27407,246572,168258,19567,21134,-219165,-387423,-428124,-199598
2025-06-16,173400,257043,61554,17301,26747,-83643,-145197,-189245,-66342
2025-06-17,600823,328369,198906,4916,26385,272454,73548,42247,277370
2025-06-18,265570,293161,154487,16375,27905,-27591,-182078,-226358,-11216
2025-06-19,161673,372574,128366,13587,5290,-210901,-339267,-358144,-197314
2025-06-20,519959,350546,143163,14728,2575,169413,26250,8947,184141
2025-06-21,114062,201173,149173,6365,7736,-87111,-236284,-250385,-80746
2025-06-22,78060,389274,104073,568,15383,-311214,-415287,-431238,-310646
2025-06-23,663605,276860,186601,5000,8973,386745,200144,186171,391745
2025-06-24,333170,29862,8740,18063,16294,303308,294568,260211,321371
2025-06-25,29762,156133,122597,2345,1160,-126371,-248968,-252473,-124026
2025-06-26,486646,37558,181445,3954,1627,449088,267643,262062,453042
2025-06-27,703950,328642,98290,9161,11482,375308,277018,256375,384469
2025-06-28,267969,29631,169651,10695,22369,238338,68687,35623,249033
2025-06-29,326761,99514,140751,827,28710,227247,86496,56959,228074
2025-06-30,709163,294636,106301,4694,5706,414527,308226,297826,419221
2025-07-01,323115,306617,45451,8889,6007,16498,-28953,-43849,25387
2025-07-02,277444,339272,67517,11005,727,-61828,-129345,-141077,-50823
2025-07-03,243677,60223,135944,3600,10582,183454,47510,33328,187054
2025-07-04,791576,318598,183665,13964,21270,472978,289313,254079,486942
2025-07-05,501631,357367,48146,1963,12094,144264,96118,82061,146227
2025-07-06,39887,236012,145455,5696,28004,-196125,-341580,-375280,-190429
2025-07-07,65012,339574,127064,16174,7164,-274562,-401626,-424964,-258388
2025-07-08,150870,76155,195322,18522,20633,74715,-120607,-159762,93237
2025-07-09,504191,106028,169337,11388,14789,398163,228826,202649,409551
2025-07-10,632991,117288,20766,3551,3679,515703,494937,487707,519254
2025-07-11,226662,202172,61627,1200,20729,24490,-37137,-59066,25690
2025-07-12,424106,251276,150183,3766,5827,172830,22647,13054,176596
2025-07-13,555754,129767,60132,17843,16821,425987,365855,331191,443830
2025-07-14,558002,13379,199311,18552,29362,544623,345312,297398,563175
2025-07-15,302889,382657,181754,8281,8178,-79768,-261522,-277981,-71487
2025-07-16,192537,346019,151691,7952,12409,-153482,-305173,-325534,-145530
2025-07-17,673231,89336,48175,11035,19084,583895,535720,505601,594930
2025-07-18,284544,195011,95902,4991,9069,89533,-6369,-20429,94524
2025-07-19,107086,161178,68699,13588,22861,-54092,-122791,-159240,-40504
2025-07-20,178657,45916,132919,14530,16479,132741,-178,-31187,147271
2025-07-21,260806,244537,53646,10413,9952,16269,-37377,-57742,26682
2025-07-22,23604,65442,88038,17777,25024,-41838,-129876,-172677,-24061
2025-07-23,278468,284779,157380,10005,5501,-6311,-163691,-179197,3694
2025-07-24,76520,137308,93096,14754,23177,-60788,-153884,-191815,-46034
2025-07-25,43668,330040,167996,8391,21542,-286372,-454368,-484301,-277981
2025-07-26,674623,288074,116135,4326,1023,386549,270414,265065,390875
2025-07-27,83922,24105,109522,5579,25604,59817,-49705,-80888,65396
2025-07-28,93880,252510,127057,11177,24924,-158630,-285687,-321788,-147453
2025-07-29,678803,34799,197642,7163,28078,644004,446362,411121,651167
2025-07-30,625678,77636,133072,7264,27799,548042,414970,379907,555306
2025-07-31,436076,361163,124657,7226,26649,74913,-49744,-83619,82139
2025-08-01,333918,56323,39628,9195,13962,277595,237967,214810,286790
2025-08-02,744329,329617,65823,16713,24915,414712,348889,307261,431425
2025-08-03,156298,310943,49823,980,12339,-154645,-204468,-217787,-153665
2025-08-04,354638,78565,76871,4531,2898,276073,199202,191773,280604
2025-08-05,72909,84709,190504,713,23607,-11800,-202304,-226624,-11087
2025-08-06,182384,169515,124496,3564,28945,12869,-111627,-144136,16433
2025-08-07,444155,57132,76622,5906,16096,387023,310401,288399,392929
2025-08-08,481394,299175,115118,3956,13881,182219,67101,49264,186175
2025-08-09,702277,391749,53647,18302,15066,310528,256881,223513,328830
2025-08-10,450855,339087,34035,16104,27048,111768,77733,34581,127872
2025-08-11,103038,193659,88923,13459,29992,-90621,-179544,-222995,-77162
2025-08-12,446796,180898,75169,15636,19697,265898,190729,155396,281534
2025-08-13,657855,211250,95392,6661,2512,446605,351213,342040,453266
2025-08-14,276193,91978,71420,2417,6982,184215,112795,103396,186632
2025-08-15,692153,209866,84164,9829,16779,482287,398123,371515,492116
2025-08-16,683112,71219,185207,13612,7009,611893,426686,406065,625505
2025-08-17,420237,347820,65806,4895,24055,72417,6611,-22339,77312
2025-08-18,434933,22665,73730,8505,19650,412268,338538,310383,420773
2025-08-19,188688,173841,14816,9538,28328,14847,31,-37835,24385
2025-08-20,526784,25120,189250,11916,19553,501664,312414,280945,513580
2025-08-21,390236,262816,56369,9698,18381,127420,71051,42972,137118
2025-08-22,244643,267523,163205,19789,21921,-22880,-186085,-227795,-3091
2025-08-23,662017,101081,160071,3295,2584,560936,400865,394986,564231
2025-08-24,370882,262379,24397,18831,24612,108503,84106,40663,127334
2025-08-25,419375,211160,146928,5777,20688,208215,61287,34822,213992
2025-08-26,287149,15985,120248,15330,6329,271164,150916,129257,286494
2025-08-27,755621,12527,45090,7196,19974,743094,698004,670834,750290
2025-08-28,799850,89138,82703,16679,20966,710712,628009,590364,727391
2025-08-29,169690,182734,171149,15964,26548,-13044,-184193,-226705,2920
2025-08-30,246386,319678,109171,2047,28185,-73292,-182463,-212695,-71245
2025-08-31,118690,230673,21645,17807,29239,-111983,-133628,-180674,-94176
2025-09-01,565968,94754,150481,9970,17929,471214,320733,292834,481184
2025-09-02,284293,322445,177778,7270,14991,-38152,-215930,-238191,-30882
2025-09-03,332530,276307,12462,17746,6581,56223,43761,19434,73969
2025-09-04,287689,201477,116020,18491,17619,86212,-29808,-65918,104703
2025-09-05,252817,290064,84106,8979,27381,-37247,-121353,-157713,-28268
2025-09-06,417963,364095,152897,2041,19023,53868,-99029,-120093,55909
2025-09-07,259975,65140,110384,3572,9274,194835,84451,71605,198407
2025-09-08,272437,377455,119076,19765,10226,-105018,-224094,-254085,-85253
2025-09-09,297382,45639,43923,10821,12764,251743,207820,184235,262564
2025-09-10,234078,59210,100497,2523,23042,174868,74371,48806,177391
2025-09-11,546133,282242,174369,10673,11696,263891,89522,67153,274564
2025-09-12,689225,355007,79489,3418,7532,334218,254729,243779,337636
2025-09-13,791164,167099,132863,4221,13394,624065,491202,473587,628286
2025-09-14,769649,300663,148333,17085,4904,468986,320653,298664,486071
2025-09-15,145426,395782,126876,11509,2320,-250356,-377232,-391061,-238847
2025-09-16,575821,60596,161638,9060,8759,515225,353587,335768,524285
2025-09-17,190262,189824,96953,13684,28530,438,-96515,-138729,14122
2025-09-18,344459,133187,6650,2681,26422,211272,204622,175519,213953
2025-09-19,26002,390112,180957,17099,9543,-364110,-545067,-571709,-347011
2025-09-20,626038,284850,61332,19841,4021,341188,279856,255994,361029
2025-09-21,254942,157936,158277,12126,18533,97006,-61271,-91930,109132
2025-09-22,86878,24177,197357,3822,6575,62701,-134656,-145053,66523
2025-09-23,283347,288215,37431,15888,19617,-4868,-42299,-77804,11020
2025-09-24,290030,357671,153734,16285,10203,-67641,-221375,-247863,-51356
2025-09-25,446799,109252,145439,12313,1986,337547,192108,177809,349860
2025-09-26,635682,247612,79567,18896,12616,388070,308503,276991,406966
2025-09-27,220569,200942,101034,5458,7216,19627,-81407,-94081,25085
2025-09-28,691620,262279,131020,18416,18528,429341,298321,261377,447757
2025-09-29,239630,222771,38409,2755,26476,16859,-21550,-50781,19614
2025-09-30,208685,288940,28192,14608,4149,-80255,-108447,-127204,-65647
2025-10-01,336255,59126,7520,11592,26529,277129,269609,231488,288721
2025-10-02,72981,233383,116556,17124,4151,-160402,-276958,-298233,-143278
2025-10-03,770431,190586,23321,6757,22016,579845,556524,527751,586602
2025-10-04,732517,20495,104359,15940,19755,712022,607663,571968,727962
2025-10-05,618959,172965,99159,16950,25321,445994,346835,304564,462944
2025-10-06,439068,13542,101163,14614,5017,425526,324363,304732,440140
2025-10-07,740727,343706,126034,15699,29309,397021,270987,225979,412720
2025-10-08,93280,179099,130796,5069,7592,-85819,-216615,-229276,-80750
2025-10-09,476900,361442,97984,12336,21816,115458,17474,-16678,127794
2025-10-10,414223,346152,196531,7204,17997,68071,-128460,-153661,75275
2025-10-11,799015,328104,124020,16302,10169,470911,346891,320420,487213
2025-10-12,264015,285840,149848,10833,5951,-21825,-171673,-188457,-10992
2025-10-13,630460,382658,28428,16443,15799,247802,219374,187132,264245
2025-10-14,462851,45851,178607,4920,10960,417000,238393,222513,421920
2025-10-15,657586,39494,143406,18474,8899,618092,474686,447313,636566
2025-10-16,798321,134221,7363,4734,14214,664100,656737,637789,668834
2025-10-17,785694,91306,90861,14848,28762,694388,603527,559917,709236
2025-10-18,457407,88394,163495,7135,19057,369013,205518,179326,376148
2025-10-19,332324,189490,88703,12427,12974,142834,54131,28730,155261
2025-10-20,444530,15258,180659,19407,18581,429272,248613,210625,448679
2025-10-21,133747,134793,81350,14508,16067,-1046,-82396,-112971,13462
2025-10-22,150319,328696,132001,2371,8251,-178377,-310378,-321000,-176006
